Age,Gender,Low_Sodium_Diet,Diet_Condition,Dining_Frequency,Low_Sodium_Satisfaction,Add_Salt_Condiments,Taste_Enhancement_Tech_Aware,Interest_In_Device,Importance_Of_Taste_Enhancement,Expected_Device_Features,Purchase_Consideration,Concerns_On_Technology,Salt_Usage_Dal_Gojju_Palya,Salt_Usage_Sambar_Rasam_Curd,Salt_Usage_Biryani_Pulao_Rice,Salt_Usage_Curry,Salt_Usage_Snacks,Salt_Usage_Roti_Paratha,Salt_Usage_Pickles_Papad,Salt_Opinion
46,Other,No,None,Daily,Yes,Always,Yes,Yes,Moderately Important,"Portable design, Dietary tracking features",Yes,,½ tsp,½ tsp,No Salt,½ tsp,¼ tsp,¼ tsp,No Salt,Too Salty
67,Other,No,None,Weekly,Yes,Always,Yes,No,Very Important,"Portable design, Mobile app integration",No,Price,¼ tsp,½ tsp,¼ tsp,No Salt,1 tsp,No Salt,1 tsp,Perfect
30,Female,No,None,Monthly,Yes,Always,Yes,Yes,Moderately Important,"Mobile app integration, Portable design",Yes,Effectiveness,½ tsp,More than 1 tsp,1 tsp,More than 1 tsp,½ tsp,No Salt,No Salt,Too Salty
29,Other,No,None,Daily,Yes,Never,No,No,Not Important,"Mobile app integration, Portable design",Maybe,,1 tsp,More than 1 tsp,¼ tsp,½ tsp,No Salt,1 tsp,No Salt,Too Bland
69,Other,Yes,Other,Rarely,Yes,Never,No,No,Not Important,"Adjustable intensity, Mobile app integration",No,Effectiveness,1 tsp,½ tsp,1 tsp,½ tsp,More than 1 tsp,¼ tsp,¼ tsp,Too Salty
60,Female,Yes,Other,Rarely,Sometimes,Always,No,No,Very Important,"Dietary tracking features, Mobile app integration",Maybe,Effectiveness,1 tsp,1 tsp,1 tsp,¼ tsp,More than 1 tsp,1 tsp,¼ tsp,Too Bland
23,Female,No,None,Daily,Yes,Never,No,Yes,Very Important,"Portable design, Adjustable intensity",Yes,Safety,1 tsp,More than 1 tsp,No Salt,1 tsp,1 tsp,More than 1 tsp,¼ tsp,Too Bland
62,Female,No,None,Rarely,Yes,Always,Yes,Yes,Moderately Important,"Portable design, Adjustable intensity",Maybe,Price,No Salt,More than 1 tsp,¼ tsp,No Salt,1 tsp,¼ tsp,1 tsp,Too Bland
51,Other,No,None,Rarely,Sometimes,Never,No,No,Very Important,"Dietary tracking features, Portable design",No,Safety,½ tsp,More than 1 tsp,1 tsp,¼ tsp,½ tsp,1 tsp,No Salt,Too Bland
36,Male,No,None,Monthly,No,Never,Yes,Yes,Very Important,"Portable design, Dietary tracking features",Maybe,Safety,¼ tsp,No Salt,1 tsp,1 tsp,½ tsp,More than 1 tsp,1 tsp,Too Salty
21,Male,No,None,Rarely,Sometimes,Never,Yes,No,Moderately Important,"Adjustable intensity, Portable design",No,Price,1 tsp,More than 1 tsp,More than 1 tsp,More than 1 tsp,¼ tsp,1 tsp,¼ tsp,Too Salty
45,Female,Yes,None,Monthly,Sometimes,Never,No,Yes,Moderately Important,"Portable design, Mobile app integration",Maybe,,1 tsp,More than 1 tsp,More than 1 tsp,No Salt,No Salt,1 tsp,¼ tsp,Too Salty
29,Male,No,None,Rarely,No,Always,No,No,Moderately Important,"Dietary tracking features, Portable design",No,Effectiveness,No Salt,1 tsp,No Salt,More than 1 tsp,No Salt,½ tsp,¼ tsp,Too Bland
22,Other,Yes,Hypertension,Weekly,Yes,Always,Yes,Yes,Very Important,"Dietary tracking features, Mobile app integration",Yes,Safety,1 tsp,½ tsp,½ tsp,¼ tsp,More than 1 tsp,More than 1 tsp,No Salt,Perfect
37,Male,Yes,Other,Rarely,No,Never,Yes,Yes,Not Important,"Portable design, Adjustable intensity",Maybe,Effectiveness,More than 1 tsp,No Salt,More than 1 tsp,No Salt,½ tsp,More than 1 tsp,1 tsp,Too Bland
41,Male,No,None,Daily,No,Sometimes,Yes,No,Moderately Important,"Dietary tracking features, Mobile app integration",Yes,Price,¼ tsp,More than 1 tsp,½ tsp,More than 1 tsp,More than 1 tsp,1 tsp,1 tsp,Too Salty
70,Other,No,None,Monthly,Yes,Always,No,No,Very Important,"Dietary tracking features, Mobile app integration",Maybe,Price,½ tsp,No Salt,1 tsp,½ tsp,¼ tsp,1 tsp,¼ tsp,Too Salty
69,Female,No,None,Monthly,Sometimes,Never,No,Yes,Not Important,"Portable design, Adjustable intensity",Yes,Price,1 tsp,More than 1 tsp,¼ tsp,1 tsp,1 tsp,1 tsp,No Salt,Perfect
36,Male,No,None,Weekly,No,Never,No,No,Not Important,"Mobile app integration, Portable design",Maybe,Effectiveness,½ tsp,1 tsp,½ tsp,½ tsp,½ tsp,¼ tsp,No Salt,Too Bland
30,Female,Yes,Kidney Disease,Weekly,Yes,Never,No,No,Not Important,"Mobile app integration, Adjustable intensity",Yes,Effectiveness,¼ tsp,½ tsp,¼ tsp,½ tsp,No Salt,More than 1 tsp,¼ tsp,Too Salty
20,Male,No,None,Weekly,Sometimes,Sometimes,Yes,Yes,Not Important,"Mobile app integration, Portable design",No,Price,½ tsp,¼ tsp,No Salt,½ tsp,1 tsp,No Salt,No Salt,Too Salty
49,Male,Yes,Kidney Disease,Weekly,Sometimes,Sometimes,Yes,Yes,Very Important,"Dietary tracking features, Mobile app integration",Maybe,Safety,More than 1 tsp,1 tsp,1 tsp,1 tsp,½ tsp,More than 1 tsp,1 tsp,Too Salty
54,Other,Yes,Hypertension,Weekly,Sometimes,Always,No,Yes,Very Important,"Portable design, Adjustable intensity",Maybe,,¼ tsp,No Salt,1 tsp,1 tsp,More than 1 tsp,1 tsp,½ tsp,Perfect
32,Female,No,None,Rarely,Yes,Never,Yes,No,Not Important,"Portable design, Dietary tracking features",Yes,Safety,¼ tsp,½ tsp,¼ tsp,No Salt,No Salt,¼ tsp,½ tsp,Too Bland
65,Other,No,None,Rarely,Yes,Sometimes,No,No,Moderately Important,"Dietary tracking features, Portable design",Yes,,1 tsp,½ tsp,More than 1 tsp,½ tsp,No Salt,No Salt,¼ tsp,Too Bland
54,Other,Yes,Other,Daily,Yes,Sometimes,No,No,Very Important,"Dietary tracking features, Mobile app integration",No,,1 tsp,½ tsp,1 tsp,½ tsp,½ tsp,No Salt,¼ tsp,Too Salty
44,Other,No,None,Monthly,Sometimes,Sometimes,Yes,No,Very Important,"Mobile app integration, Portable design",No,,1 tsp,More than 1 tsp,No Salt,More than 1 tsp,1 tsp,1 tsp,No Salt,Perfect
51,Female,No,None,Rarely,Yes,Always,No,Yes,Moderately Important,"Dietary tracking features, Mobile app integration",No,,No Salt,More than 1 tsp,¼ tsp,¼ tsp,½ tsp,More than 1 tsp,No Salt,Too Bland
44,Male,Yes,Hypertension,Rarely,Yes,Never,Yes,No,Not Important,"Mobile app integration, Dietary tracking features",Maybe,Effectiveness,1 tsp,1 tsp,1 tsp,¼ tsp,1 tsp,More than 1 tsp,¼ tsp,Too Salty
30,Other,Yes,Hypertension,Monthly,No,Sometimes,No,Yes,Moderately Important,"Mobile app integration, Dietary tracking features",Maybe,Price,¼ tsp,1 tsp,More than 1 tsp,1 tsp,½ tsp,½ tsp,More than 1 tsp,Too Bland
42,Female,No,None,Weekly,Sometimes,Always,No,Yes,Moderately Important,"Adjustable intensity, Portable design",Maybe,Price,1 tsp,1 tsp,¼ tsp,1 tsp,No Salt,¼ tsp,More than 1 tsp,Too Bland
39,Male,No,None,Daily,Sometimes,Sometimes,Yes,Yes,Moderately Important,"Portable design, Adjustable intensity",No,Effectiveness,½ tsp,More than 1 tsp,1 tsp,No Salt,½ tsp,More than 1 tsp,1 tsp,Too Salty
58,Other,No,None,Daily,Sometimes,Always,Yes,No,Very Important,"Adjustable intensity, Portable design",Yes,,1 tsp,¼ tsp,½ tsp,No Salt,No Salt,½ tsp,No Salt,Too Salty
40,Female,No,None,Weekly,Yes,Never,No,Yes,Very Important,"Portable design, Adjustable intensity",Maybe,Price,More than 1 tsp,¼ tsp,1 tsp,More than 1 tsp,¼ tsp,¼ tsp,1 tsp,Too Bland
34,Female,No,None,Daily,No,Sometimes,Yes,Yes,Moderately Important,"Mobile app integration, Dietary tracking features",No,Price,½ tsp,1 tsp,½ tsp,¼ tsp,1 tsp,1 tsp,No Salt,Perfect
42,Other,No,None,Monthly,Sometimes,Sometimes,Yes,No,Moderately Important,"Adjustable intensity, Mobile app integration",Maybe,,More than 1 tsp,1 tsp,½ tsp,¼ tsp,More than 1 tsp,½ tsp,¼ tsp,Too Bland
30,Other,No,None,Weekly,Sometimes,Always,Yes,No,Moderately Important,"Adjustable intensity, Mobile app integration",No,Safety,No Salt,½ tsp,½ tsp,1 tsp,¼ tsp,¼ tsp,¼ tsp,Too Bland
41,Other,No,None,Weekly,No,Sometimes,No,No,Very Important,"Dietary tracking features, Adjustable intensity",Yes,Safety,1 tsp,More than 1 tsp,½ tsp,No Salt,1 tsp,No Salt,½ tsp,Too Bland
25,Female,No,None,Monthly,Sometimes,Sometimes,No,Yes,Not Important,"Portable design, Dietary tracking features",Yes,Effectiveness,More than 1 tsp,¼ tsp,No Salt,1 tsp,½ tsp,1 tsp,No Salt,Perfect
20,Male,No,None,Rarely,Yes,Always,Yes,Yes,Moderately Important,"Dietary tracking features, Portable design",Maybe,Price,More than 1 tsp,¼ tsp,1 tsp,No Salt,1 tsp,More than 1 tsp,1 tsp,Too Salty
20,Other,No,None,Weekly,No,Sometimes,Yes,No,Very Important,"Mobile app integration, Dietary tracking features",Maybe,Effectiveness,No Salt,1 tsp,½ tsp,¼ tsp,No Salt,1 tsp,No Salt,Too Bland
31,Other,Yes,Hypertension,Monthly,Yes,Always,Yes,Yes,Not Important,"Portable design, Mobile app integration",Yes,Safety,½ tsp,¼ tsp,More than 1 tsp,No Salt,½ tsp,¼ tsp,¼ tsp,Too Bland
34,Male,Yes,Hypertension,Weekly,Yes,Sometimes,Yes,No,Very Important,"Portable design, Dietary tracking features",Yes,Safety,1 tsp,More than 1 tsp,No Salt,No Salt,1 tsp,1 tsp,½ tsp,Too Bland
55,Male,No,None,Weekly,Sometimes,Always,No,No,Not Important,"Adjustable intensity, Dietary tracking features",No,Price,1 tsp,No Salt,1 tsp,1 tsp,No Salt,No Salt,½ tsp,Too Bland
27,Male,Yes,Other,Monthly,No,Never,No,No,Not Important,"Dietary tracking features, Adjustable intensity",Maybe,,More than 1 tsp,¼ tsp,1 tsp,1 tsp,¼ tsp,1 tsp,½ tsp,Too Salty
43,Female,Yes,Other,Rarely,No,Never,No,No,Very Important,"Dietary tracking features, Adjustable intensity",Yes,,No Salt,1 tsp,No Salt,½ tsp,¼ tsp,More than 1 tsp,No Salt,Too Bland
53,Other,No,None,Daily,No,Sometimes,No,Yes,Moderately Important,"Mobile app integration, Portable design",Yes,Safety,¼ tsp,1 tsp,¼ tsp,No Salt,½ tsp,More than 1 tsp,½ tsp,Perfect
66,Female,Yes,None,Daily,Sometimes,Never,No,Yes,Very Important,"Mobile app integration, Dietary tracking features",No,Effectiveness,½ tsp,No Salt,¼ tsp,¼ tsp,More than 1 tsp,1 tsp,No Salt,Perfect
65,Other,Yes,Hypertension,Weekly,No,Sometimes,No,No,Very Important,"Mobile app integration, Portable design",Maybe,Effectiveness,More than 1 tsp,More than 1 tsp,No Salt,No Salt,¼ tsp,¼ tsp,More than 1 tsp,Perfect
61,Male,No,None,Rarely,Sometimes,Sometimes,No,No,Moderately Important,"Mobile app integration, Adjustable intensity",Maybe,,½ tsp,1 tsp,No Salt,½ tsp,More than 1 tsp,1 tsp,More than 1 tsp,Too Bland
37,Male,Yes,None,Daily,Yes,Always,No,Yes,Very Important,"Mobile app integration, Portable design",No,,No Salt,1 tsp,1 tsp,¼ tsp,¼ tsp,1 tsp,More than 1 tsp,Too Bland
32,Other,No,None,Daily,No,Never,Yes,No,Very Important,"Dietary tracking features, Adjustable intensity",No,Price,More than 1 tsp,1 tsp,1 tsp,½ tsp,No Salt,1 tsp,No Salt,Too Salty
28,Other,No,None,Monthly,Yes,Sometimes,Yes,Yes,Moderately Important,"Dietary tracking features, Mobile app integration",Yes,Price,½ tsp,½ tsp,¼ tsp,½ tsp,¼ tsp,No Salt,More than 1 tsp,Too Bland
25,Other,Yes,Other,Monthly,Sometimes,Never,Yes,Yes,Very Important,"Portable design, Dietary tracking features",Yes,Safety,More than 1 tsp,¼ tsp,No Salt,¼ tsp,1 tsp,1 tsp,More than 1 tsp,Too Bland
46,Other,No,None,Monthly,Yes,Sometimes,Yes,No,Moderately Important,"Mobile app integration, Portable design",Maybe,,½ tsp,More than 1 tsp,No Salt,½ tsp,1 tsp,1 tsp,No Salt,Perfect
41,Female,Yes,Hypertension,Rarely,No,Never,Yes,No,Not Important,"Portable design, Dietary tracking features",Maybe,Price,More than 1 tsp,¼ tsp,No Salt,1 tsp,No Salt,½ tsp,No Salt,Too Bland
59,Male,Yes,Kidney Disease,Rarely,No,Never,Yes,No,Moderately Important,"Mobile app integration, Portable design",No,Effectiveness,More than 1 tsp,No Salt,½ tsp,No Salt,½ tsp,No Salt,More than 1 tsp,Too Bland
42,Female,No,None,Weekly,No,Always,Yes,No,Moderately Important,"Dietary tracking features, Adjustable intensity",Maybe,,½ tsp,More than 1 tsp,1 tsp,½ tsp,¼ tsp,More than 1 tsp,No Salt,Too Bland
60,Female,No,None,Daily,No,Sometimes,Yes,Yes,Moderately Important,"Dietary tracking features, Adjustable intensity",Yes,Safety,¼ tsp,No Salt,½ tsp,No Salt,More than 1 tsp,More than 1 tsp,More than 1 tsp,Perfect
60,Female,Yes,None,Weekly,Yes,Always,Yes,No,Very Important,"Dietary tracking features, Portable design",Maybe,Safety,1 tsp,More than 1 tsp,½ tsp,1 tsp,¼ tsp,More than 1 tsp,¼ tsp,Too Salty
69,Female,Yes,Other,Rarely,No,Sometimes,No,No,Very Important,"Portable design, Mobile app integration",Yes,Effectiveness,No Salt,1 tsp,½ tsp,More than 1 tsp,No Salt,More than 1 tsp,No Salt,Too Salty
23,Male,No,None,Rarely,Sometimes,Always,No,Yes,Very Important,"Dietary tracking features, Portable design",Yes,Price,No Salt,1 tsp,More than 1 tsp,½ tsp,¼ tsp,1 tsp,No Salt,Too Salty
32,Male,No,None,Daily,Sometimes,Never,No,Yes,Very Important,"Adjustable intensity, Portable design",No,Safety,1 tsp,1 tsp,More than 1 tsp,No Salt,No Salt,No Salt,½ tsp,Perfect
27,Other,No,None,Daily,No,Always,No,Yes,Very Important,"Portable design, Dietary tracking features",Maybe,Price,No Salt,No Salt,1 tsp,More than 1 tsp,More than 1 tsp,No Salt,More than 1 tsp,Too Bland
33,Other,Yes,Other,Rarely,Yes,Never,No,Yes,Not Important,"Dietary tracking features, Adjustable intensity",Maybe,,More than 1 tsp,½ tsp,No Salt,More than 1 tsp,More than 1 tsp,More than 1 tsp,More than 1 tsp,Too Bland
19,Female,No,None,Daily,Sometimes,Sometimes,No,No,Not Important,"Adjustable intensity, Portable design",Yes,Effectiveness,¼ tsp,No Salt,More than 1 tsp,½ tsp,¼ tsp,No Salt,½ tsp,Too Bland
39,Other,Yes,None,Rarely,Sometimes,Always,Yes,Yes,Not Important,"Dietary tracking features, Adjustable intensity",No,Safety,No Salt,¼ tsp,No Salt,½ tsp,½ tsp,More than 1 tsp,1 tsp,Too Bland
48,Female,Yes,Kidney Disease,Monthly,No,Always,No,No,Very Important,"Mobile app integration, Portable design",No,Price,1 tsp,½ tsp,¼ tsp,1 tsp,1 tsp,½ tsp,More than 1 tsp,Too Salty
69,Male,No,None,Daily,No,Never,Yes,No,Moderately Important,"Adjustable intensity, Dietary tracking features",No,Effectiveness,½ tsp,1 tsp,More than 1 tsp,1 tsp,¼ tsp,1 tsp,½ tsp,Too Salty
20,Other,No,None,Rarely,No,Never,Yes,Yes,Not Important,"Dietary tracking features, Portable design",Maybe,Safety,No Salt,¼ tsp,More than 1 tsp,1 tsp,No Salt,¼ tsp,No Salt,Perfect
67,Other,No,None,Monthly,No,Never,Yes,Yes,Not Important,"Dietary tracking features, Portable design",No,Price,No Salt,More than 1 tsp,¼ tsp,More than 1 tsp,½ tsp,1 tsp,½ tsp,Too Bland
35,Male,Yes,Hypertension,Weekly,No,Never,No,Yes,Moderately Important,"Mobile app integration, Dietary tracking features",No,Safety,More than 1 tsp,½ tsp,1 tsp,¼ tsp,No Salt,¼ tsp,No Salt,Too Salty
29,Other,No,None,Daily,Sometimes,Sometimes,No,Yes,Not Important,"Mobile app integration, Portable design",Yes,Safety,½ tsp,More than 1 tsp,¼ tsp,No Salt,¼ tsp,¼ tsp,¼ tsp,Too Salty
19,Female,No,None,Rarely,Sometimes,Always,Yes,Yes,Moderately Important,"Dietary tracking features, Mobile app integration",Maybe,Price,More than 1 tsp,1 tsp,1 tsp,More than 1 tsp,No Salt,¼ tsp,½ tsp,Too Bland
22,Female,No,None,Monthly,Yes,Never,Yes,Yes,Moderately Important,"Adjustable intensity, Dietary tracking features",Maybe,Safety,½ tsp,¼ tsp,¼ tsp,½ tsp,¼ tsp,½ tsp,More than 1 tsp,Too Salty
23,Female,Yes,Other,Weekly,Sometimes,Sometimes,Yes,Yes,Not Important,"Portable design, Adjustable intensity",Maybe,Effectiveness,More than 1 tsp,No Salt,No Salt,No Salt,No Salt,More than 1 tsp,½ tsp,Too Bland
31,Other,No,None,Daily,No,Never,No,No,Moderately Important,"Portable design, Mobile app integration",No,Effectiveness,1 tsp,No Salt,No Salt,¼ tsp,1 tsp,1 tsp,1 tsp,Too Salty
31,Female,Yes,Other,Monthly,Sometimes,Sometimes,No,Yes,Moderately Important,"Adjustable intensity, Portable design",Yes,Price,No Salt,½ tsp,1 tsp,¼ tsp,¼ tsp,No Salt,No Salt,Too Salty
42,Other,No,None,Weekly,Yes,Sometimes,No,Yes,Very Important,"Dietary tracking features, Mobile app integration",No,Price,½ tsp,1 tsp,No Salt,No Salt,1 tsp,More than 1 tsp,1 tsp,Perfect
31,Other,No,None,Daily,Yes,Sometimes,No,No,Moderately Important,"Adjustable intensity, Dietary tracking features",No,Safety,½ tsp,½ tsp,1 tsp,½ tsp,No Salt,1 tsp,No Salt,Too Bland
53,Male,No,None,Monthly,Yes,Sometimes,No,No,Not Important,"Adjustable intensity, Dietary tracking features",Yes,Price,½ tsp,½ tsp,More than 1 tsp,½ tsp,¼ tsp,¼ tsp,More than 1 tsp,Too Bland
43,Other,Yes,Hypertension,Daily,Yes,Never,No,No,Not Important,"Dietary tracking features, Adjustable intensity",Maybe,Safety,½ tsp,More than 1 tsp,½ tsp,¼ tsp,1 tsp,More than 1 tsp,½ tsp,Too Bland
39,Other,No,None,Monthly,No,Always,No,No,Not Important,"Adjustable intensity, Portable design",Maybe,Effectiveness,No Salt,More than 1 tsp,1 tsp,½ tsp,More than 1 tsp,More than 1 tsp,¼ tsp,Too Bland
21,Other,No,None,Weekly,Sometimes,Never,No,Yes,Not Important,"Portable design, Adjustable intensity",Maybe,,¼ tsp,No Salt,1 tsp,½ tsp,1 tsp,¼ tsp,1 tsp,Too Bland
31,Female,No,None,Daily,Sometimes,Always,Yes,No,Not Important,"Dietary tracking features, Mobile app integration",No,Effectiveness,¼ tsp,1 tsp,More than 1 tsp,½ tsp,More than 1 tsp,½ tsp,½ tsp,Too Bland
48,Male,Yes,Other,Monthly,Yes,Sometimes,No,Yes,Not Important,"Dietary tracking features, Portable design",No,Effectiveness,More than 1 tsp,½ tsp,½ tsp,No Salt,More than 1 tsp,More than 1 tsp,1 tsp,Too Salty
70,Female,Yes,Other,Daily,No,Never,Yes,No,Moderately Important,"Mobile app integration, Dietary tracking features",No,Safety,¼ tsp,More than 1 tsp,½ tsp,More than 1 tsp,½ tsp,¼ tsp,No Salt,Too Bland
65,Other,Yes,Kidney Disease,Daily,Sometimes,Never,Yes,Yes,Very Important,"Adjustable intensity, Portable design",No,Price,No Salt,¼ tsp,No Salt,More than 1 tsp,¼ tsp,1 tsp,1 tsp,Too Salty
59,Male,No,None,Monthly,No,Never,Yes,Yes,Not Important,"Portable design, Mobile app integration",Maybe,,¼ tsp,1 tsp,¼ tsp,No Salt,1 tsp,1 tsp,¼ tsp,Too Bland
36,Male,Yes,Other,Daily,No,Sometimes,No,No,Very Important,"Dietary tracking features, Portable design",Yes,,½ tsp,¼ tsp,1 tsp,½ tsp,¼ tsp,No Salt,½ tsp,Too Salty
54,Other,Yes,Kidney Disease,Rarely,No,Never,No,Yes,Moderately Important,"Adjustable intensity, Dietary tracking features",Yes,Price,½ tsp,¼ tsp,No Salt,½ tsp,1 tsp,¼ tsp,1 tsp,Too Salty
39,Female,Yes,Other,Monthly,Sometimes,Always,Yes,Yes,Moderately Important,"Mobile app integration, Adjustable intensity",No,Effectiveness,No Salt,½ tsp,½ tsp,More than 1 tsp,¼ tsp,¼ tsp,¼ tsp,Too Salty
27,Female,No,None,Rarely,Sometimes,Never,No,Yes,Very Important,"Adjustable intensity, Mobile app integration",No,Effectiveness,No Salt,More than 1 tsp,No Salt,No Salt,More than 1 tsp,More than 1 tsp,¼ tsp,Too Bland
52,Male,Yes,Other,Rarely,Yes,Never,Yes,No,Very Important,"Dietary tracking features, Adjustable intensity",No,Safety,More than 1 tsp,1 tsp,1 tsp,More than 1 tsp,No Salt,More than 1 tsp,1 tsp,Too Bland
69,Female,Yes,None,Monthly,Yes,Never,Yes,Yes,Very Important,"Dietary tracking features, Portable design",Maybe,,More than 1 tsp,No Salt,No Salt,1 tsp,No Salt,½ tsp,1 tsp,Perfect
67,Male,No,None,Monthly,No,Sometimes,No,No,Very Important,"Portable design, Mobile app integration",No,,¼ tsp,More than 1 tsp,1 tsp,More than 1 tsp,¼ tsp,¼ tsp,No Salt,Perfect
37,Female,No,None,Rarely,Yes,Always,No,No,Very Important,"Mobile app integration, Adjustable intensity",Maybe,,No Salt,1 tsp,More than 1 tsp,No Salt,¼ tsp,¼ tsp,No Salt,Perfect
56,Male,No,None,Daily,Yes,Never,Yes,No,Moderately Important,"Portable design, Mobile app integration",Yes,,¼ tsp,More than 1 tsp,½ tsp,¼ tsp,More than 1 tsp,½ tsp,More than 1 tsp,Too Bland
67,Other,No,None,Weekly,No,Always,Yes,No,Moderately Important,"Mobile app integration, Adjustable intensity",Maybe,Safety,1 tsp,More than 1 tsp,1 tsp,No Salt,½ tsp,1 tsp,More than 1 tsp,Too Salty
62,Female,No,None,Weekly,No,Sometimes,Yes,No,Very Important,"Portable design, Dietary tracking features",Maybe,Safety,1 tsp,No Salt,More than 1 tsp,1 tsp,1 tsp,More than 1 tsp,More than 1 tsp,Perfect
42,Male,No,None,Weekly,No,Never,Yes,No,Moderately Important,"Adjustable intensity, Mobile app integration",Maybe,Safety,No Salt,½ tsp,1 tsp,More than 1 tsp,More than 1 tsp,No Salt,No Salt,Perfect
69,Other,Yes,None,Weekly,No,Sometimes,Yes,Yes,Very Important,"Adjustable intensity, Mobile app integration",No,Safety,More than 1 tsp,¼ tsp,1 tsp,¼ tsp,More than 1 tsp,½ tsp,½ tsp,Too Salty
47,Other,No,None,Monthly,No,Sometimes,No,No,Very Important,"Dietary tracking features, Portable design",Yes,Effectiveness,½ tsp,1 tsp,No Salt,More than 1 tsp,¼ tsp,¼ tsp,No Salt,Too Salty
53,Other,No,None,Monthly,Yes,Always,No,Yes,Moderately Important,"Portable design, Dietary tracking features",Maybe,Effectiveness,½ tsp,1 tsp,1 tsp,1 tsp,¼ tsp,½ tsp,¼ tsp,Perfect
